tea_name,name
TEA_B1075,ESCO.0216.01306
TEA_B1077,ESCO.0216.00204
TEA_B1089,ESCO.0216.01041
TEA_B1098,ESCO.0216.00523
TEA_B115,ESCO.0216.00309
TEA_B1167,ESCO.0216.00702
TEA_B1191,ESCO.0216.00397
TEA_B1201,ESCO.0216.00146
TEA_B1246,ESCO.0216.01315
TEA_B1267,ESCO.0216.00594
TEA_B127,ESCO.0216.00597
TEA_B1288,ESCO.0216.00725
TEA_B1305,ESCO.0216.00657
TEA_B1317,ESCO.0216.01063
TEA_B1333,ESCO.0216.00220
TEA_B1341,ESCO.0216.00857
TEA_B148,ESCO.0216.00865
TEA_B1503,ESCO.0216.01184
TEA_B1504,ESCO.0216.00578
TEA_B1505,ESCO.0216.00288
TEA_B1510,ESCO.0216.01353
TEA_B1521,ESCO.0216.00261
TEA_B1532,ESCO.0216.00679
TEA_B1535,ESCO.0216.01294
TEA_B1539,ESCO.0216.01289
TEA_B1542,ESCO.0216.00270
TEA_B1544,ESCO.0216.01216
TEA_B1546,ESCO.0216.01332
TEA_B1547,ESCO.0216.00928
TEA_B1548,ESCO.0216.00552
TEA_B1549b,ESCO.0216.01302
TEA_B1552,ESCO.0216.01307
TEA_B1565,ESCO.0216.01038
TEA_B1568,ESCO.0216.00480
TEA_B1573,ESCO.0216.01158
TEA_B1598,ESCO.0216.00853
TEA_B1636,ESCO.0216.00683
TEA_B1654,ESCO.0216.00918
TEA_B1661,ESCO.0216.01352
TEA_B1662,ESCO.0216.01314
TEA_B1663,ESCO.0216.01345
TEA_B1664,ESCO.0216.01351
TEA_B1665,ESCO.0216.01350
TEA_B1667,ESCO.0216.00504
TEA_B1671,ESCO.0216.00484
TEA_B1675,ESCO.0216.01204
TEA_B1684,ESCO.0216.00537
TEA_B1685,ESCO.0216.00716
TEA_B1688,ESCO.0216.00831
TEA_B1694,ESCO.0216.00896
TEA_B1696,ESCO.0216.01161
TEA_B1697b,ESCO.0216.00328
TEA_B1699,ESCO.0216.01188
TEA_B1700,ESCO.0216.01327
TEA_B1704,ESCO.0216.00996
TEA_B1708,ESCO.0216.00492
TEA_B1709,ESCO.0216.00706
TEA_B1714,ESCO.0216.00589
TEA_B1716,ESCO.0216.00621
TEA_B1719,ESCO.0216.00551
TEA_B1725,ESCO.0216.00972
TEA_B1726,ESCO.0216.00608
TEA_B1728,ESCO.0216.00791
TEA_B1729,ESCO.0216.00891
TEA_B172,ESCO.0216.00297
TEA_B1730,ESCO.0216.00688
TEA_B1734,ESCO.0216.01174
TEA_B1735,ESCO.0216.01030
TEA_B1737,ESCO.0216.00531
TEA_B1743,ESCO.0216.00139
TEA_B1749,ESCO.0216.00599
TEA_B1751,ESCO.0216.01122
TEA_B1756,ESCO.0216.00625
TEA_B1757,ESCO.0216.01258
TEA_B1761,ESCO.0216.00466
TEA_B1763,ESCO.0216.00660
TEA_B1768,ESCO.0216.01170
TEA_B1783,ESCO.0216.01059
TEA_B1784,ESCO.0216.00544
TEA_B1785,ESCO.0216.00287
TEA_B1794,ESCO.0216.00356
TEA_B1795,ESCO.0216.00385
TEA_B1801,ESCO.0216.01087
TEA_B1802,ESCO.0216.01244
TEA_B1803,ESCO.0216.01205
TEA_B1804,ESCO.0216.00284
TEA_B1805,ESCO.0216.00790
TEA_B1808,ESCO.0216.00737
TEA_B1809,ESCO.0216.01230
TEA_B1811,ESCO.0216.00435
TEA_B1813,ESCO.0216.00881
TEA_B1814,ESCO.0216.01194
TEA_B1815,ESCO.0216.01107
TEA_B1818,ESCO.0216.00793
TEA_B1820,ESCO.0216.01239
TEA_B1824,ESCO.0216.01247
TEA_B1825,ESCO.0216.01196
TEA_B1827,ESCO.0216.01355
TEA_B1830,ESCO.0216.01268
TEA_B1832,ESCO.0216.01149
TEA_B1835,ESCO.0216.00729
TEA_B1837,ESCO.0216.00289
TEA_B1850,ESCO.0216.01218
TEA_B1851,ESCO.0216.00164
TEA_B1852,ESCO.0216.00797
TEA_B1853,ESCO.0216.01020
TEA_B1857,ESCO.0216.01180
TEA_B1858b,ESCO.0216.01291
TEA_B1859,ESCO.0216.01191
TEA_B1864,ESCO.0216.01132
TEA_B1866,ESCO.0216.00185
TEA_B1867,ESCO.0216.01146
TEA_B1868,ESCO.0216.00335
TEA_B1877,ESCO.0216.01163
TEA_B1883,ESCO.0216.01147
TEA_B1885,ESCO.0216.00635
TEA_B1889,ESCO.0216.00473
TEA_B1893,ESCO.0216.00147
TEA_B1894,ESCO.0216.01068
TEA_B1895,ESCO.0216.00231
TEA_B1897,ESCO.0216.00474
TEA_B1899,ESCO.0216.00522
TEA_B1900,ESCO.0216.00991
TEA_B1911,ESCO.0216.00116
TEA_B1912,ESCO.0216.01229
TEA_B1914,ESCO.0216.01134
TEA_B1921,ESCO.0216.01101
TEA_B1925,ESCO.0216.01131
TEA_B1927,ESCO.0216.01000
TEA_B1928,ESCO.0216.01142
TEA_B1929,ESCO.0216.01005
TEA_B1930,ESCO.0216.00508
TEA_B1932b,ESCO.0216.01305
TEA_B1933,ESCO.0216.00823
TEA_B1937,ESCO.0216.00177
TEA_B1939,ESCO.0216.00855
TEA_B1940,ESCO.0216.01208
TEA_B194,ESCO.0216.00413
TEA_B1951,ESCO.0216.00960
TEA_B1956,ESCO.0216.00736
TEA_B219,ESCO.0216.00434
TEA_B226,ESCO.0216.00615
TEA_B250,ESCO.0216.00845
TEA_B264,ESCO.0216.00841
TEA_B271,ESCO.0216.01325
TEA_B288,ESCO.0216.00394
TEA_B313b,ESCO.0216.00476
TEA_B339,ESCO.0216.00564
TEA_B351,ESCO.0216.00393
TEA_B377,ESCO.0216.00992
TEA_B386,ESCO.0216.00319
TEA_B472,ESCO.0216.00133
TEA_B476,ESCO.0216.00722
TEA_B486,ESCO.0216.00229
TEA_B525,ESCO.0216.00843
TEA_B531,ESCO.0216.01182
TEA_B544,ESCO.0216.00687
TEA_B547,ESCO.0216.00792
TEA_B564,ESCO.0216.00747
TEA_B596,ESCO.0216.00720
TEA_B620,ESCO.0216.00618
TEA_B706,ESCO.0216.00986
TEA_B721,ESCO.0216.00704
TEA_B745,ESCO.0216.00753
TEA_B749,ESCO.0216.00424
TEA_B764,ESCO.0216.00457
TEA_B771,ESCO.0216.01126
TEA_B778,ESCO.0216.01011
TEA_B811,ESCO.0216.00626
TEA_B868,ESCO.0216.01096
TEA_B894,ESCO.0216.01022
TEA_B948,ESCO.0216.00901
TEA_B952,ESCO.0216.00442
TEA_B977,ESCO.0216.00344
TEA_B996,ESCO.0216.00364
TEA_Bris_2W,ESCO.0216.01312
TEA_Bris_5B,ESCO.0216.01292
TEA_BS117,ESCO.0216.00205
TEA_BS11,ESCO.0216.00391
TEA_BS142,ESCO.0216.00233
TEA_BS14,ESCO.0216.00967
TEA_BS150,ESCO.0216.00392
TEA_BS157,ESCO.0216.00197
TEA_BS165,ESCO.0216.00268
TEA_BS17,ESCO.0216.00148
TEA_BS20,ESCO.0216.00362
TEA_BS36,ESCO.0216.00218
TEA_BS45,ESCO.0216.00092
TEA_BS58,ESCO.0216.00387
TEA_BS76,ESCO.0216.00221
TEA_BS84,ESCO.0216.00539
TEA_BS87,ESCO.0216.00888
TEA_C1_101,ESCO.0216.00778
TEA_C1_102,ESCO.0216.01111
TEA_C1_10,ESCO.0216.01263
TEA_C1_110,ESCO.0216.00538
TEA_C1_111,ESCO.0216.01071
TEA_C1_119,ESCO.0216.01296
TEA_C1_121,ESCO.0216.01397
TEA_C1_123,ESCO.0216.01382
TEA_C1_13,ESCO.0216.00902
TEA_C1_15,ESCO.0216.00585
TEA_C1_1,ESCO.0216.01042
TEA_C1_30,ESCO.0216.00662
TEA_C1_33,ESCO.0216.00726
TEA_C1_36,ESCO.0216.00503
TEA_C1_38,ESCO.0216.01199
TEA_C1_3,ESCO.0216.01109
TEA_C1_46,ESCO.0216.00697
TEA_C1_4,ESCO.0216.01265
TEA_C1_51,ESCO.0216.00514
TEA_C1_61,ESCO.0216.00620
TEA_C1_66,ESCO.0216.00771
TEA_C16,ESCO.0216.01415
TEA_C1_72,ESCO.0216.00710
TEA_C1_79,ESCO.0216.00878
TEA_C1_84,ESCO.0216.00829
TEA_C1_89,ESCO.0216.00619
TEA_C1_90,ESCO.0216.01075
TEA_C1_91,ESCO.0216.00306
TEA_C1_95,ESCO.0216.01014
TEA_C2_100,ESCO.0216.01344
TEA_C2_102,ESCO.0216.01349
TEA_C2_103,ESCO.0216.01318
TEA_C2_106,ESCO.0216.01339
TEA_C2_108,ESCO.0216.01396
TEA_C2_110,ESCO.0216.01155
TEA_C2_115,ESCO.0216.00957
TEA_C2_116,ESCO.0216.01267
TEA_C2_117,ESCO.0216.01069
TEA_C2_12,ESCO.0216.01048
TEA_C2_13,ESCO.0216.01369
TEA_C2_14,ESCO.0216.00675
TEA_C2_16,ESCO.0216.01007
TEA_C2_18,ESCO.0216.01124
TEA_C2_19,ESCO.0216.01277
TEA_C2_22,ESCO.0216.00936
TEA_C2_27,ESCO.0216.01341
TEA_C2_34,ESCO.0216.01156
TEA_C2_38,ESCO.0216.00240
TEA_C2_41,ESCO.0216.00282
TEA_C2_44,ESCO.0216.01106
TEA_C2_45,ESCO.0216.01192
TEA_C2_46,ESCO.0216.01080
TEA_C2_53,ESCO.0216.01116
TEA_C2_58,ESCO.0216.01176
TEA_C2_5,ESCO.0216.01266
TEA_C2_68,ESCO.0216.00739
TEA_C2_93,ESCO.0216.00982
TEA_C2_94,ESCO.0216.00942
TEA_C2_97,ESCO.0216.01336
TEA_C3_10,ESCO.0216.01213
TEA_C3_11,ESCO.0216.01269
TEA_C3_12,ESCO.0216.01212
TEA_C3_13,ESCO.0216.01249
TEA_C3_14,ESCO.0216.01225
TEA_C3_15,ESCO.0216.01211
TEA_C3_19,ESCO.0216.00518
TEA_C3_22,ESCO.0216.01032
TEA_C3_27,ESCO.0216.00677
TEA_C3_28,ESCO.0216.00814
TEA_C3_29,ESCO.0216.00723
TEA_C3_2,ESCO.0216.00925
TEA_C3_30,ESCO.0216.00553
TEA_C3_36,ESCO.0216.01251
TEA_C3_37,ESCO.0216.01245
TEA_C3_39,ESCO.0216.01081
TEA_C3_3,ESCO.0216.01254
TEA_C3_40,ESCO.0216.01259
TEA_C3_43,ESCO.0216.01103
TEA_C3_59,ESCO.0216.00920
TEA_C3_65,ESCO.0216.01342
TEA_C3_6,ESCO.0216.00993
TEA_C3_70,ESCO.0216.01335
TEA_C3_71,ESCO.0216.01411
TEA_C3_72,ESCO.0216.01357
TEA_C3_7,ESCO.0216.01274
TEA_C3_8,ESCO.0216.01145
TEA_C3_9,ESCO.0216.01157
TEA_C4_100,ESCO.0216.00862
TEA_C4_17,ESCO.0216.01260
TEA_C4_19,ESCO.0216.00600
TEA_C4_21,ESCO.0216.00867
TEA_C4_24,ESCO.0216.00899
TEA_C4_2,ESCO.0216.00955
TEA_C4_32,ESCO.0216.00561
TEA_C4_33,ESCO.0216.01013
TEA_C4_34,ESCO.0216.00471
TEA_C4_35,ESCO.0216.01060
TEA_C4_36,ESCO.0216.01095
TEA_C4_38,ESCO.0216.01210
TEA_C4_39,ESCO.0216.00751
TEA_C4_41,ESCO.0216.01185
