Revised_Source_Niche name
Livestock AusGEM_00948
Livestock AusGEM_00107
Livestock TEA_B1850
Livestock AusGEM_00877
Livestock SRR12398600
Livestock TEA_B1814
Livestock AusGEM_00281
Livestock AusGEM_00048
Livestock AusGEM_00172
Livestock SRR14160831
Livestock AusGEM_00002
Livestock AusGEM_00067
Livestock AusGEM_00119
Livestock AusGEM_00859
Livestock SRR10065349
Livestock AusGEM_00038
Livestock AusGEM_00864
Livestock AusGEM_00301
Livestock TEA_B1940
Livestock SRR14160907
Livestock SRR14160936
Livestock AusGEM_00308
Livestock SRR7469914
Livestock AusGEM_00101
Livestock AusGEM_00269
Livestock AusGEM_00157
Livestock AusGEM_00943
Livestock TEA_B1899
Livestock AusGEM_00856
Livestock AusGEM_00267
Livestock AusGEM_00336
Livestock AusGEM_00909
Livestock SRR14160806
Livestock SRR14160814
Livestock AusGEM_00998
Livestock AusGEM_00054
Livestock AusGEM_00022
Livestock AusGEM_00117
Livestock TEA_B1951
Livestock AusGEM_00031
Livestock AusGEM_00126
Livestock AusGEM_00296
Livestock SRR14160803
Livestock AusGEM_00899
Livestock SRR7790734
Livestock AusGEM_00879
Livestock AusGEM_00239
Livestock AusGEM_00140
Livestock AusGEM_00929
Livestock AusGEM_00235
Livestock AusGEM_00096
Livestock SRR14160799
Livestock AusGEM_00302
Livestock SRR14160914
Livestock TEA_B1927
Livestock AusGEM_00953
Livestock AusGEM_00293
Livestock AusGEM_01008
Livestock AusGEM_00255
Livestock SRR14160859
Livestock AusGEM_00095
Livestock AusGEM_00290
Livestock AusGEM_00176
Livestock AusGEM_00939
Livestock AusGEM_00180
Livestock AusGEM_00049
Livestock SRR14160928
Livestock AusGEM_00224
Livestock TEA_B1877
Livestock SRR7469893
Livestock AusGEM_01016
Livestock AusGEM_00918
Livestock TEA_B1929
Livestock AusGEM_00052
Livestock AusGEM_00236
Livestock AusGEM_00102
Livestock TEA_B1900
Livestock AusGEM_01033
Livestock SRR7469887
Livestock SRR7469862
Livestock AusGEM_01020
Livestock AusGEM_00329
Livestock AusGEM_00153
Livestock AusGEM_00193
Livestock TEA_B1853
Livestock AusGEM_00315
Livestock SRR7469830
Livestock TEA_B1809
Livestock AusGEM_00242
Livestock AusGEM_00309
Livestock AusGEM_00043
Livestock AusGEM_00072
Livestock AusGEM_00045
Livestock AusGEM_01011
Livestock AusGEM_00970
Livestock AusGEM_00127
Livestock AusGEM_00152
Livestock AusGEM_00878
Livestock SRR11886760
Livestock AusGEM_00041
Livestock AusGEM_01006
Livestock AusGEM_00213
Livestock AusGEM_00976
Livestock AusGEM_00861
Livestock AusGEM_00021
Livestock AusGEM_00040
Livestock AusGEM_00880
Livestock AusGEM_00069
Livestock AusGEM_00240
Livestock TEA_B1937
Livestock AusGEM_00323
Livestock TEA_B1803
Livestock AusGEM_01027
Livestock AusGEM_00250
Livestock SRR14160908
Livestock AusGEM_00291
Livestock AusGEM_00268
Livestock AusGEM_00091
Livestock AusGEM_00985
Livestock TEA_B1859
Livestock AusGEM_00937
Livestock SRR14160939
Livestock AusGEM_00333
Livestock AusGEM_00968
Livestock AusGEM_00961
Livestock SRR7469839
Livestock SRR7469868
Livestock AusGEM_00870
Livestock AusGEM_00883
Livestock SRR14160934
Livestock AusGEM_00166
Livestock AusGEM_00014
Livestock AusGEM_00214
Livestock AusGEM_00184
Livestock SRR11886750
Livestock AusGEM_00186
Livestock AusGEM_00025
Livestock AusGEM_00168
Livestock AusGEM_00150
Livestock AusGEM_00902
Livestock AusGEM_00280
Livestock AusGEM_00201
Livestock TEA_B1914
Livestock SRR7469854
Livestock AusGEM_00921
Livestock AusGEM_00055
Livestock TEA_B1939
Livestock SRR14160820
Livestock AusGEM_00888
Livestock AusGEM_00982
Livestock AusGEM_00189
Livestock SRR7469845
Livestock SRR7469840
Livestock AusGEM_00317
Livestock AusGEM_00175
Livestock AusGEM_00219
Livestock AusGEM_00078
Livestock AusGEM_00233
Livestock SRR7790753
Livestock AusGEM_00139
Livestock SRR14160910
Livestock AusGEM_00020
Livestock TEA_B1897
Livestock AusGEM_00011
Livestock AusGEM_00911
Livestock SRR7469846
Livestock AusGEM_00328
Livestock AusGEM_00941
Livestock SRR12398598
Livestock SRR14160927
Livestock AusGEM_00274
Livestock AusGEM_00331
Livestock AusGEM_00956
Livestock AusGEM_00905
Livestock SRR12398589
Livestock AusGEM_00229
Livestock TEA_B1867
Livestock AusGEM_00855
Livestock AusGEM_00135
Livestock AusGEM_00270
Livestock SRR14160819
Livestock AusGEM_00908
Livestock AusGEM_00154
Livestock AusGEM_01023
Livestock AusGEM_00169
Livestock SRR14160930
Livestock AusGEM_00046
Livestock AusGEM_00122
Livestock AusGEM_00890
Livestock AusGEM_00316
Livestock AusGEM_00088
Livestock SRR14160925
Livestock SRR14160816
Livestock AusGEM_00960
Livestock AusGEM_00984
Livestock AusGEM_00244
Livestock AusGEM_00094
Livestock AusGEM_00137
Livestock AusGEM_00197
Livestock AusGEM_00966
Livestock AusGEM_00026
Livestock AusGEM_01024
Livestock AusGEM_00234
Livestock AusGEM_00923
Livestock AusGEM_00893
Livestock SRR1554983
Livestock AusGEM_00018
Livestock AusGEM_00215
Livestock AusGEM_00916
Livestock AusGEM_00185
Livestock AusGEM_00981
Livestock SRR14160800
Livestock TEA_B1930
Livestock AusGEM_00881
Livestock SRR7469870
Livestock AusGEM_00287
Livestock SRR14160944
Livestock TEA_B1885
Livestock AusGEM_00972
Livestock AusGEM_00174
Livestock AusGEM_00955
Livestock SRR14160903
Livestock AusGEM_00282
Livestock AusGEM_00991
Livestock TEA_B1725
Livestock AusGEM_00994
Livestock TEA_B1928
Livestock SRR14160821
Livestock TEA_B1832
Livestock AusGEM_00253
Livestock AusGEM_00262
Livestock AusGEM_00265
Livestock AusGEM_00097
Livestock AusGEM_00162
Livestock SRR14160862
Livestock AusGEM_00992
Livestock AusGEM_00216
Livestock AusGEM_01029
Livestock AusGEM_00073
Livestock AusGEM_00027
Livestock AusGEM_00212
Livestock AusGEM_00252
Livestock AusGEM_00116
Livestock AusGEM_00895
Livestock AusGEM_00064
Livestock SRR7469829
Livestock AusGEM_00192
Livestock SRR7612197
Livestock AusGEM_00995
Livestock TEA_B1675
